DayOfWeek_Time,お花茶屋,亀有,京成小岩,京成立石,京成金町,京成高砂,四ツ木,堀切菖蒲園,小岩,新小岩,新柴又,柴又,綾瀬,金町,青砥
2017-01-01 00:00:00,33,383,34,39,35,418,0,83,1663,1926,0,0,1004,462,145
2017-01-01 01:00:00,0,109,0,0,0,0,0,20,1209,1284,0,0,602,131,36
2017-01-01 02:00:00,0,0,0,0,0,0,0,0,1058,1070,0,0,401,0,0
2017-01-01 03:00:00,33,0,17,39,0,0,0,0,1134,1070,0,0,401,0,36
2017-01-01 04:00:00,101,54,0,118,70,0,0,62,1209,1177,0,0,468,65,0
2017-01-01 05:00:00,236,383,120,276,212,418,53,166,1663,1712,26,7,803,462,145
2017-01-01 06:00:00,405,877,240,473,389,1359,161,333,2268,2462,73,79,1271,1058,364
2017-01-01 07:00:00,607,1425,378,710,566,2301,287,500,2872,3211,136,159,1740,1719,656
2017-01-01 08:00:00,810,2028,499,946,743,2929,394,666,3402,3961,194,247,2209,2447,985
2017-01-01 09:00:00,1012,2576,568,1183,849,3243,484,771,3855,4496,236,334,2543,3108,1313
2017-01-01 10:00:00,1114,3069,602,1301,885,3243,520,854,4233,4924,241,430,2811,3703,1569
2017-01-01 11:00:00,1147,3398,602,1341,849,3138,538,854,4460,5138,220,526,2878,4100,1787
2017-01-01 12:00:00,1080,3617,568,1262,778,3138,538,833,4536,5245,194,613,2945,4364,1933
2017-01-01 13:00:00,979,3727,516,1144,708,3138,520,791,4536,5245,168,677,2945,4497,1970
2017-01-01 14:00:00,877,3727,481,1025,672,3138,484,750,4536,5352,157,677,3079,4497,1970
2017-01-01 15:00:00,810,3672,464,946,672,3138,430,708,4460,5245,147,613,3079,4430,1933
2017-01-01 16:00:00,810,3508,447,946,672,3033,376,645,4384,5138,136,486,3079,4232,1824
2017-01-01 17:00:00,776,3288,430,907,637,2824,323,562,4233,4924,120,334,2945,3967,1678
2017-01-01 18:00:00,742,2905,413,867,566,2615,287,458,3931,4496,94,199,2744,3505,1496
2017-01-01 19:00:00,675,2411,378,789,495,2301,233,375,3477,4175,68,103,2476,2909,1277
2017-01-01 20:00:00,540,1918,327,631,389,1987,179,291,2948,3639,36,39,2142,2314,985
2017-01-01 21:00:00,405,1315,258,473,283,1464,143,229,2343,3104,10,0,1740,1586,729
2017-01-01 22:00:00,236,822,154,276,177,941,89,145,1814,2462,0,0,1338,991,474
2017-01-01 23:00:00,101,383,68,118,70,523,35,104,1360,1926,0,0,937,462,255
2017-01-02 00:00:00,0,54,0,0,35,104,0,41,982,1391,0,0,602,65,72
2017-01-02 01:00:00,0,0,0,0,0,0,0,0,756,1070,0,0,334,0,0
2017-01-02 02:00:00,0,0,0,0,0,0,0,0,756,856,0,0,267,0,0
